"TCODE","n","Plasso_NT","Slasso_NT","Plasso_ST","Slasso_ST"
"All","120","4.55277777777778","16.2055555555556","4.83333333333333","26.2277777777778"
"All","240","12.3805555555556","22.7638888888889","21.275","62.4583333333333"
"All","360","12.8666666666667","32.8083333333333","24.0916666666667","66.1555555555556"
"1","120","0","0.952777777777778","2.19166666666667","4.05833333333333"
"1","240","0","2.32222222222222","7.51944444444444","6.04722222222222"
"1","360","0","3.56944444444444","7.55555555555556","6.81944444444444"
"2","120","0","2.65277777777778","1.46111111111111","3.68611111111111"
"2","240","0.380555555555556","4.14444444444444","7.01666666666667","9.53611111111111"
"2","360","0.425","6.38888888888889","8.51944444444444","10.1333333333333"
"4","120","0","1.56944444444444","1.05555555555556","4.29444444444444"
"4","240","0.00555555555555556","2.725","5.1","6"
"4","360","0","3.97222222222222","5.63055555555556","6.11666666666667"
"5","120","2.73611111111111","9.85833333333333","0","9.96666666666667"
"5","240","8.35833333333333","11.925","0.616666666666667","25.3805555555556"
"5","360","8.875","14.7027777777778","1.13055555555556","26.1555555555556"
"6","120","1.48333333333333","1.11666666666667","0","4.10833333333333"
"6","240","2.78611111111111","1.43333333333333","0.641666666666667","14.6638888888889"
"6","360","2.84722222222222","3.67222222222222","0.794444444444444","16.0638888888889"
"7","120","0.333333333333333","0.0555555555555556","0.125","0.113888888888889"
"7","240","0.85","0.213888888888889","0.380555555555556","0.830555555555556"
"7","360","0.719444444444444","0.502777777777778","0.461111111111111","0.866666666666667"
